record_key,audit_file,record_seq,experiment_id,semantic_intent_id,instruction_text,digest_content_md5,m3_preferences_count,negated,negation_markers,candidate_nodes,top_node,top_score,runner_up_node,runner_up_score,gap,matched_example,observed_resolution_step,observed_node_id,expected_node_id,nominal_status,nominal_node
day1_20260820/logs/audit_20260820_143504.jsonl#1,day1_20260820/logs/audit_20260820_143504.jsonl,1,E1,E1c,go to lab_cb204,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,14,0.0,0,0.0,0.0,"It is too hot in here, take me somewhere I can get some fresh air",2,5,5,abstain_below_threshold,
day1_20260820/logs/audit_20260820_143557.jsonl#1,day1_20260820/logs/audit_20260820_143557.jsonl,1,E1,E1c,go to lab_cb204,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,14,0.0,0,0.0,0.0,"It is too hot in here, take me somewhere I can get some fresh air",2,5,5,abstain_below_threshold,
day1_20260820/logs/audit_20260820_143644.jsonl#1,day1_20260820/logs/audit_20260820_143644.jsonl,1,E1,E1c,go to lab_cb204,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,14,0.0,0,0.0,0.0,"It is too hot in here, take me somewhere I can get some fresh air",2,5,5,abstain_below_threshold,
day1_20260820/logs/audit_20260820_143732.jsonl#1,day1_20260820/logs/audit_20260820_143732.jsonl,1,E1,E1c,go to lab_cb204,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,14,0.0,0,0.0,0.0,"It is too hot in here, take me somewhere I can get some fresh air",2,5,5,abstain_below_threshold,
day1_20260820/logs/audit_20260820_144036.jsonl#1,day1_20260820/logs/audit_20260820_144036.jsonl,1,E1,E1c,go to lab_cb204,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,14,0.0,0,0.0,0.0,"It is too hot in here, take me somewhere I can get some fresh air",2,5,5,abstain_below_threshold,
day1_20260820/logs/audit_20260820_144134.jsonl#1,day1_20260820/logs/audit_20260820_144134.jsonl,1,E1,E1c,go to lab_cb204,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,14,0.0,0,0.0,0.0,"It is too hot in here, take me somewhere I can get some fresh air",2,5,5,abstain_below_threshold,
day1_20260820/logs/audit_20260820_144235.jsonl#1,day1_20260820/logs/audit_20260820_144235.jsonl,1,E1,E1c,go to lab_cb204,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,14,0.0,0,0.0,0.0,"It is too hot in here, take me somewhere I can get some fresh air",2,5,5,abstain_below_threshold,
day1_20260820/logs/audit_20260820_144319.jsonl#1,day1_20260820/logs/audit_20260820_144319.jsonl,1,E1,E1c,go to lab_cb204,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,14,0.0,0,0.0,0.0,"It is too hot in here, take me somewhere I can get some fresh air",2,5,5,abstain_below_threshold,
day1_20260820/logs/audit_20260820_144526.jsonl#1,day1_20260820/logs/audit_20260820_144526.jsonl,1,E1,E1d,Take me to the closest plant,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,9,0.16666666666666666,0,0.125,0.04166666666666666,Take me somewhere I can sit and relax,6,19,,abstain_below_threshold,
day1_20260820/logs/audit_20260820_144633.jsonl#1,day1_20260820/logs/audit_20260820_144633.jsonl,1,E1,E1d,Take me to the closest plant,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,9,0.16666666666666666,0,0.125,0.04166666666666666,Take me somewhere I can sit and relax,6,19,,abstain_below_threshold,
day1_20260820/logs/audit_20260820_145232.jsonl#1,day1_20260820/logs/audit_20260820_145232.jsonl,1,E1,E1d,Take me to the closest plant,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,9,0.16666666666666666,0,0.125,0.04166666666666666,Take me somewhere I can sit and relax,6,19,,abstain_below_threshold,
day1_20260820/logs/audit_20260820_145354.jsonl#1,day1_20260820/logs/audit_20260820_145354.jsonl,1,E1,E1d,Take me to the closest plant,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,9,0.16666666666666666,0,0.125,0.04166666666666666,Take me somewhere I can sit and relax,6,19,,abstain_below_threshold,
day1_20260820/logs/audit_20260820_145354.jsonl#2,day1_20260820/logs/audit_20260820_145354.jsonl,2,E1,E1d,Take me to the closest plant,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,9,0.16666666666666666,0,0.125,0.04166666666666666,Take me somewhere I can sit and relax,6,19,,abstain_below_threshold,
day1_20260820/logs/audit_20260820_150456.jsonl#1,day1_20260820/logs/audit_20260820_150456.jsonl,1,E2,N01,do not go to a place to take a short break for personal needs,0fd61f9e82e8fe6991f0311014384e0c,6,True,not,0,,,,,,,,5,,abstain_negation,
day1_20260820/logs/audit_20260820_150614.jsonl#1,day1_20260820/logs/audit_20260820_150614.jsonl,1,E2,N02,never go to a place to take a short break for personal needs,0fd61f9e82e8fe6991f0311014384e0c,6,True,never,0,,,,,,,,-1,,abstain_negation,
day1_20260820/logs/audit_20260820_150652.jsonl#1,day1_20260820/logs/audit_20260820_150652.jsonl,1,E2,N03,"no, go to a place to take a short break for personal needs",0fd61f9e82e8fe6991f0311014384e0c,6,True,no,0,,,,,,,,9,,abstain_negation,
day1_20260820/logs/audit_20260820_150808.jsonl#1,day1_20260820/logs/audit_20260820_150808.jsonl,1,E2,N04,I would not go to a place to take a short break for personal needs,0fd61f9e82e8fe6991f0311014384e0c,6,True,not,0,,,,,,,,-1,,abstain_negation,
day1_20260820/logs/audit_20260820_150840.jsonl#1,day1_20260820/logs/audit_20260820_150840.jsonl,1,E2,N05,we should not go to a place to take a short break for personal needs,0fd61f9e82e8fe6991f0311014384e0c,6,True,not,0,,,,,,,,-1,,abstain_negation,
day1_20260820/logs/audit_20260820_150904.jsonl#1,day1_20260820/logs/audit_20260820_150904.jsonl,1,E2,N06,you may not go to a place to take a short break for personal needs,0fd61f9e82e8fe6991f0311014384e0c,6,True,not,0,,,,,,,,-1,,abstain_negation,
day1_20260820/logs/audit_20260820_150931.jsonl#1,day1_20260820/logs/audit_20260820_150931.jsonl,1,E2,N07,it is not a place to take a short break for personal needs,0fd61f9e82e8fe6991f0311014384e0c,6,True,not,0,,,,,,,,9,,abstain_negation,
day1_20260820/logs/audit_20260820_151214.jsonl#1,day1_20260820/logs/audit_20260820_151214.jsonl,1,E2,N08,don't go to a place to take a short break for personal needs,0fd61f9e82e8fe6991f0311014384e0c,6,True,dont,0,,,,,,,,9,,abstain_negation,
day1_20260820/logs/audit_20260820_151349.jsonl#1,day1_20260820/logs/audit_20260820_151349.jsonl,1,E2,N09,Do not take me to the restroom,0fd61f9e82e8fe6991f0311014384e0c,6,True,not,0,,,,,,,,-1,,abstain_negation,
day1_20260820/logs/audit_20260820_151423.jsonl#1,day1_20260820/logs/audit_20260820_151423.jsonl,1,E2,N10,nu ma duce la toaleta,0fd61f9e82e8fe6991f0311014384e0c,6,True,nu,0,,,,,,,,-1,,abstain_negation,
day1_20260820/logs/audit_20260820_151458.jsonl#1,day1_20260820/logs/audit_20260820_151458.jsonl,1,E2,X01,take me anywhere except the restroom,0fd61f9e82e8fe6991f0311014384e0c,6,True,except,0,,,,,,,,9,,abstain_negation,
day1_20260820/logs/audit_20260820_151458.jsonl#2,day1_20260820/logs/audit_20260820_151458.jsonl,2,E2,X01,take me anywhere except the restroom,0fd61f9e82e8fe6991f0311014384e0c,6,True,except,0,,,,,,,,9,,abstain_negation,
day1_20260820/logs/audit_20260820_151704.jsonl#1,day1_20260820/logs/audit_20260820_151704.jsonl,1,E2,X02,take me somewhere other than the restroom,0fd61f9e82e8fe6991f0311014384e0c,6,True,other than,0,,,,,,,,-1,,abstain_negation,
day1_20260820/logs/audit_20260820_151743.jsonl#1,day1_20260820/logs/audit_20260820_151743.jsonl,1,E2,X03,"du-ma altundeva, nu la toaleta",0fd61f9e82e8fe6991f0311014384e0c,6,True,nu|altundeva,0,,,,,,,,,,abstain_negation,
day1_20260820/logs/audit_20260820_151916.jsonl#1,day1_20260820/logs/audit_20260820_151916.jsonl,1,E2,X04,go anywhere but cb204,0fd61f9e82e8fe6991f0311014384e0c,6,True,anywhere but,0,,,,,,,,9,,abstain_negation,
day1_20260820/logs/audit_20260820_152059.jsonl#1,day1_20260820/logs/audit_20260820_152059.jsonl,1,E2,X01,take me anywhere except the restroom,0fd61f9e82e8fe6991f0311014384e0c,6,True,except,0,,,,,,,,-1,,abstain_negation,
day1_20260820/logs/audit_20260820_152130.jsonl#1,day1_20260820/logs/audit_20260820_152130.jsonl,1,E2,X02,take me somewhere other than the restroom,0fd61f9e82e8fe6991f0311014384e0c,6,True,other than,0,,,,,,,,9,,abstain_negation,
day1_20260820/logs/audit_20260820_152237.jsonl#1,day1_20260820/logs/audit_20260820_152237.jsonl,1,E2,X03,"du-ma altundeva, nu la toaleta",0fd61f9e82e8fe6991f0311014384e0c,6,True,nu|altundeva,0,,,,,,,,9,,abstain_negation,
day1_20260820/logs/audit_20260820_152411.jsonl#1,day1_20260820/logs/audit_20260820_152411.jsonl,1,E2,X04,go anywhere but cb204,0fd61f9e82e8fe6991f0311014384e0c,6,True,anywhere but,0,,,,,,,,-1,,abstain_negation,
day1_20260820/logs/audit_20260820_152450.jsonl#1,day1_20260820/logs/audit_20260820_152450.jsonl,1,E2,C01,"lab cb203 got on fire, help me find something to stop the fire",0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,8,0.625,14,0.0,0.625,"the washroom got on fire, help me find something to stop the fire",,8,23,abstain_below_threshold,
day1_20260820/logs/audit_20260820_152555.jsonl#1,day1_20260820/logs/audit_20260820_152555.jsonl,1,E2,C02,"lab cb204 got on fire, help me find something to stop the fire",0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,8,0.625,14,0.0,0.625,"the washroom got on fire, help me find something to stop the fire",2,5,5,abstain_below_threshold,
day1_20260820/logs/audit_20260820_152656.jsonl#1,day1_20260820/logs/audit_20260820_152656.jsonl,1,E2,A01,go to a place to take a short break for personal needs,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,0,1.0,9,0.1111111111111111,0.8888888888888888,go to a place to take a short break for personal needs,0,0,0,accept,0
day1_20260820/logs/audit_20260820_152803.jsonl#1,day1_20260820/logs/audit_20260820_152803.jsonl,1,E2,A02,"the washroom got on fire, help me find something to stop the fire",0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,8,1.0,14,0.0,1.0,"the washroom got on fire, help me find something to stop the fire",0,8,8,accept,8
day1_20260820/logs/audit_20260820_153008.jsonl#1,day1_20260820/logs/audit_20260820_153008.jsonl,1,E2,A03,go to cb204,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,14,0.0,0,0.0,0.0,"It is too hot in here, take me somewhere I can get some fresh air",2,5,5,abstain_below_threshold,
day1_20260820/logs/audit_20260820_153622.jsonl#1,day1_20260820/logs/audit_20260820_153622.jsonl,1,E2,N01,do not go to a place to take a short break for personal needs,0fd61f9e82e8fe6991f0311014384e0c,6,True,not,0,,,,,,,,-1,,abstain_negation,
day1_20260820/logs/audit_20260820_153654.jsonl#1,day1_20260820/logs/audit_20260820_153654.jsonl,1,E2,N02,never go to a place to take a short break for personal needs,0fd61f9e82e8fe6991f0311014384e0c,6,True,never,0,,,,,,,,-1,,abstain_negation,
day1_20260820/logs/audit_20260820_153723.jsonl#1,day1_20260820/logs/audit_20260820_153723.jsonl,1,E2,N03,"no, go to a place to take a short break for personal needs",0fd61f9e82e8fe6991f0311014384e0c,6,True,no,0,,,,,,,,9,,abstain_negation,
day1_20260820/logs/audit_20260820_153859.jsonl#1,day1_20260820/logs/audit_20260820_153859.jsonl,1,E2,N04,I would not go to a place to take a short break for personal needs,0fd61f9e82e8fe6991f0311014384e0c,6,True,not,0,,,,,,,,-1,,abstain_negation,
day1_20260820/logs/audit_20260820_153927.jsonl#1,day1_20260820/logs/audit_20260820_153927.jsonl,1,E2,N05,we should not go to a place to take a short break for personal needs,0fd61f9e82e8fe6991f0311014384e0c,6,True,not,0,,,,,,,,-1,,abstain_negation,
day1_20260820/logs/audit_20260820_153951.jsonl#1,day1_20260820/logs/audit_20260820_153951.jsonl,1,E2,N06,you may not go to a place to take a short break for personal needs,0fd61f9e82e8fe6991f0311014384e0c,6,True,not,0,,,,,,,,-1,,abstain_negation,
day1_20260820/logs/audit_20260820_154012.jsonl#1,day1_20260820/logs/audit_20260820_154012.jsonl,1,E2,N07,it is not a place to take a short break for personal needs,0fd61f9e82e8fe6991f0311014384e0c,6,True,not,0,,,,,,,,-1,,abstain_negation,
day1_20260820/logs/audit_20260820_154029.jsonl#1,day1_20260820/logs/audit_20260820_154029.jsonl,1,E2,N08,don't go to a place to take a short break for personal needs,0fd61f9e82e8fe6991f0311014384e0c,6,True,dont,0,,,,,,,,1,,abstain_negation,
day1_20260820/logs/audit_20260820_154142.jsonl#1,day1_20260820/logs/audit_20260820_154142.jsonl,1,E2,N09,Do not take me to the restroom,0fd61f9e82e8fe6991f0311014384e0c,6,True,not,0,,,,,,,,-1,,abstain_negation,
day1_20260820/logs/audit_20260820_154206.jsonl#1,day1_20260820/logs/audit_20260820_154206.jsonl,1,E2,N10,nu ma duce la toaleta,0fd61f9e82e8fe6991f0311014384e0c,6,True,nu,0,,,,,,,,-1,,abstain_negation,
day1_20260820/logs/audit_20260820_154234.jsonl#1,day1_20260820/logs/audit_20260820_154234.jsonl,1,E2,X01,take me anywhere except the restroom,0fd61f9e82e8fe6991f0311014384e0c,6,True,except,0,,,,,,,,,,abstain_negation,
day1_20260820/logs/audit_20260820_154348.jsonl#1,day1_20260820/logs/audit_20260820_154348.jsonl,1,E2,X02,take me somewhere other than the restroom,0fd61f9e82e8fe6991f0311014384e0c,6,True,other than,0,,,,,,,,-1,,abstain_negation,
day1_20260820/logs/audit_20260820_154422.jsonl#1,day1_20260820/logs/audit_20260820_154422.jsonl,1,E2,X03,"du-ma altundeva, nu la toaleta",0fd61f9e82e8fe6991f0311014384e0c,6,True,nu|altundeva,0,,,,,,,,,,abstain_negation,
day1_20260820/logs/audit_20260820_154520.jsonl#1,day1_20260820/logs/audit_20260820_154520.jsonl,1,E2,X04,go anywhere but cb204,0fd61f9e82e8fe6991f0311014384e0c,6,True,anywhere but,0,,,,,,,,15,,abstain_negation,
day1_20260820/logs/audit_20260820_154520.jsonl#2,day1_20260820/logs/audit_20260820_154520.jsonl,2,E2,X04,go anywhere but cb204,0fd61f9e82e8fe6991f0311014384e0c,6,True,anywhere but,0,,,,,,,,9,,abstain_negation,
day1_20260820/logs/audit_20260820_154745.jsonl#1,day1_20260820/logs/audit_20260820_154745.jsonl,1,E2,X04,go anywhere but cb204,0fd61f9e82e8fe6991f0311014384e0c,6,True,anywhere but,0,,,,,,,,-1,,abstain_negation,
day1_20260820/logs/audit_20260820_154819.jsonl#1,day1_20260820/logs/audit_20260820_154819.jsonl,1,E2,X01,take me anywhere except the restroom,0fd61f9e82e8fe6991f0311014384e0c,6,True,except,0,,,,,,,,-1,,abstain_negation,
day1_20260820/logs/audit_20260820_154847.jsonl#1,day1_20260820/logs/audit_20260820_154847.jsonl,1,E2,X02,take me somewhere other than the restroom,0fd61f9e82e8fe6991f0311014384e0c,6,True,other than,0,,,,,,,,-1,,abstain_negation,
day1_20260820/logs/audit_20260820_154912.jsonl#1,day1_20260820/logs/audit_20260820_154912.jsonl,1,E2,X03,"du-ma altundeva, nu la toaleta",0fd61f9e82e8fe6991f0311014384e0c,6,True,nu|altundeva,0,,,,,,,,,,abstain_negation,
day1_20260820/logs/audit_20260820_155021.jsonl#1,day1_20260820/logs/audit_20260820_155021.jsonl,1,E2,X04,go anywhere but cb204,0fd61f9e82e8fe6991f0311014384e0c,6,True,anywhere but,0,,,,,,,,-1,,abstain_negation,
day1_20260820/logs/audit_20260820_155048.jsonl#1,day1_20260820/logs/audit_20260820_155048.jsonl,1,E2,C01,"lab cb203 got on fire, help me find something to stop the fire",0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,8,0.625,14,0.0,0.625,"the washroom got on fire, help me find something to stop the fire",,8,23,abstain_below_threshold,
day1_20260820/logs/audit_20260820_155138.jsonl#1,day1_20260820/logs/audit_20260820_155138.jsonl,1,E2,C02,"lab cb204 got on fire, help me find something to stop the fire",0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,8,0.625,14,0.0,0.625,"the washroom got on fire, help me find something to stop the fire",2,5,5,abstain_below_threshold,
day1_20260820/logs/audit_20260820_155310.jsonl#1,day1_20260820/logs/audit_20260820_155310.jsonl,1,E2,A01,go to a place to take a short break for personal needs,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,0,1.0,9,0.1111111111111111,0.8888888888888888,go to a place to take a short break for personal needs,0,0,0,accept,0
day1_20260820/logs/audit_20260820_155407.jsonl#1,day1_20260820/logs/audit_20260820_155407.jsonl,1,E2,A02,"the washroom got on fire, help me find something to stop the fire",0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,8,1.0,14,0.0,1.0,"the washroom got on fire, help me find something to stop the fire",0,8,8,accept,8
day1_20260820/logs/audit_20260820_155439.jsonl#1,day1_20260820/logs/audit_20260820_155439.jsonl,1,E2,A03,go to cb204,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,14,0.0,0,0.0,0.0,"It is too hot in here, take me somewhere I can get some fresh air",2,5,5,abstain_below_threshold,
day2_20260821/logs/audit_20260821_110624.jsonl#1,day2_20260821/logs/audit_20260821_110624.jsonl,1,E3,S1,go to a place to take a short break for personal needs,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,0,1.0,9,0.1111111111111111,0.8888888888888888,go to a place to take a short break for personal needs,0,0,0,accept,0
day2_20260821/logs/audit_20260821_110624.jsonl#2,day2_20260821/logs/audit_20260821_110624.jsonl,2,E3,S1,go to a place to take a short break for personal needs,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,0,1.0,9,0.1111111111111111,0.8888888888888888,go to a place to take a short break for personal needs,0,0,0,accept,0
day2_20260821/logs/audit_20260821_110814.jsonl#1,day2_20260821/logs/audit_20260821_110814.jsonl,1,E3,S2,"the washroom got on fire, help me find something to stop the fire",0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,8,1.0,14,0.0,1.0,"the washroom got on fire, help me find something to stop the fire",0,8,8,accept,8
day2_20260821/logs/audit_20260821_110936.jsonl#1,day2_20260821/logs/audit_20260821_110936.jsonl,1,E3,S3,Take me somewhere I can sit and relax,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,9,1.0,14,0.2,0.8,Take me somewhere I can sit and relax,0,9,9,accept,9
day2_20260821/logs/audit_20260821_110936.jsonl#2,day2_20260821/logs/audit_20260821_110936.jsonl,2,E3,S3,Take me somewhere I can sit and relax,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,9,1.0,14,0.2,0.8,Take me somewhere I can sit and relax,0,9,9,accept,9
day2_20260821/logs/audit_20260821_111058.jsonl#1,day2_20260821/logs/audit_20260821_111058.jsonl,1,E3,S3o,"It is too hot in here, take me somewhere I can get some fresh air",0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,14,1.0,9,0.2,0.8,"It is too hot in here, take me somewhere I can get some fresh air",0,14,14,accept,14
day2_20260821/logs/audit_20260821_111235.jsonl#1,day2_20260821/logs/audit_20260821_111235.jsonl,1,E3,S4,take me to cb204,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,9,0.2,0,0.14285714285714285,0.05714285714285716,Take me somewhere I can sit and relax,2,5,5,abstain_below_threshold,
