day,run_id,audit_file,platform_id,record_seq,timestamp_utc,experiment_id,experiment_phase,semantic_intent_id,repetition_index,mission_index,concurrency_group_id,concurrent_peers,instruction_text,instruction_language,resolution_method,resolution_step,is_escalated,node_id,node_name,expected_node_id,nav_outcome,arrival_ok,xy_error_m,distance_traveled_m,start_x_m,start_y_m,start_yaw_rad,end_x_m,end_y_m,end_yaw_rad,amcl_converged,amcl_covariance_trace,resolve_ms,vlm_ms,nav_total_s,reroute_count,blocked_attempts,validation_allowed,validation_reason,confirmation_method,confirmation_signature_type,confirmed,confirmation_confidence,confirmation_parse_status,confirmation_prompt_md5,m3_promotion_triggered,m3_preferences_count,memory_status,digest_content_md5,digest_generated_at,memory_prefix_included,memory_prefix_chars,luminance_mean,image_start,image_start_md5,image_finish,image_finish_md5
day1_20260820,20260820_124642,day1_20260820/logs/audit_20260820_124642.jsonl,xplorer-c,1,2026-08-20T09:48:57.139+00:00,E1,,SW14,1,1,,1,go to node 14,en,L3a_deterministic,1,no,14,plant_5,14,missed,False,3.274,3.805,2.193,1.8098,-1.7545,3.6992,3.7909,-0.1159,True,0.079487,0.1685619354248047,0.0,27.97,0,[],True,ALLOW: all checks passed,,,,,,,False,6,loaded,0fd61f9e82e8fe6991f0311014384e0c,2026-04-23T10:19:36.377832Z,True,460,139.9,day1_20260820/logs/20260820_124642/mission_1_plant_5/start.jpg,335ac979e471a47f5703d72aa9872f51,,
day1_20260820,20260820_125530,day1_20260820/logs/audit_20260820_125530.jsonl,xplorer-c,1,2026-08-20T09:56:22.699+00:00,E1,,SW14,1,1,,1,go to node 14,en,L3a_deterministic,1,no,14,plant_5,14,mission_complete,True,0.168,11.488,2.2621,1.5647,-1.5797,6.558,5.2325,1.4464,True,0.137315,0.1919269561767578,0.0,48.34,0,[],True,ALLOW: all checks passed,vlm_landmark,landmark,True,HIGH,ok,ace89171863277f13e882160d6034536,False,6,loaded,0fd61f9e82e8fe6991f0311014384e0c,2026-04-23T10:19:36.377832Z,True,460,143.85,day1_20260820/logs/20260820_125530/mission_1_plant_5/start.jpg,3a3bb6d0f75509a452f9357b0d337358,day1_20260820/logs/20260820_125530/mission_1_plant_5/finish.jpg,f687613233b742b468daa850b275d222
day1_20260820,20260820_125656,day1_20260820/logs/audit_20260820_125656.jsonl,xplorer-c,1,2026-08-20T09:57:06.851+00:00,E1,,SW15,1,1,,1,go to node 15,en,L3a_deterministic,1,no,15,junction_e1,15,missed,False,5.208,0.135,2.4787,1.5522,-1.5857,2.4787,1.5522,-1.5857,True,0.026734,0.1952648162841797,0.0,4.32,0,[],True,ALLOW: all checks passed,,,,,,,False,6,loaded,0fd61f9e82e8fe6991f0311014384e0c,2026-04-23T10:19:36.377832Z,True,460,130.8,day1_20260820/logs/20260820_125656/mission_1_junction_e1/start.jpg,b57476e5623e885d80d370c4e1321bf4,,
day1_20260820,20260820_125656,day1_20260820/logs/audit_20260820_125656.jsonl,xplorer-c,2,2026-08-20T09:57:26.645+00:00,E1,,SW15,1,2,,1,go to node 15,en,L3a_deterministic,1,no,15,junction_e1,15,missed,False,5.585,3.114,2.4787,1.5522,-1.5857,3.5942,0.0618,-0.1331,True,0.041949,0.07224082946777344,0.0,19.73,0,[],True,ALLOW: all checks passed,,,,,,,False,6,loaded,0fd61f9e82e8fe6991f0311014384e0c,2026-04-23T10:19:36.377832Z,True,460,129.73,day1_20260820/logs/20260820_125656/mission_2_junction_e1/start.jpg,264bc17f1b74492f45bca4206957a834,,
day1_20260820,20260820_125656,day1_20260820/logs/audit_20260820_125656.jsonl,xplorer-c,3,2026-08-20T09:58:02.420+00:00,E1,,SW15,1,3,,1,go to node 15,en,L3a_deterministic,1,no,15,junction_e1,15,mission_complete,True,0.156,8.383,3.5653,0.06,-0.2007,6.4046,4.7443,1.5514,True,0.161248,0.08440017700195312,0.0,35.66,0,[],True,ALLOW: all checks passed,vlm_landmark,landmark,True,HIGH,ok,de180d6fd3375e3f85159f2b90d031ab,False,6,loaded,0fd61f9e82e8fe6991f0311014384e0c,2026-04-23T10:19:36.377832Z,True,460,154.71,day1_20260820/logs/20260820_125656/mission_3_junction_e1/start.jpg,170168ce43f7906d73ac046c39a48e08,day1_20260820/logs/20260820_125656/mission_3_junction_e1/finish.jpg,e37c22beaa8040836ee9c96b7ff79d35
day1_20260820,20260820_125837,day1_20260820/logs/audit_20260820_125837.jsonl,xplorer-c,1,2026-08-20T09:59:13.409+00:00,E1,,SW19,1,1,,1,go to node 19,en,L3a_deterministic,1,no,19,plant_3,19,mission_complete,True,0.167,6.056,2.6361,1.5307,-1.5618,6.4999,-0.7407,-1.467,True,0.049811,0.1926422119140625,0.0,32.59,0,[],True,ALLOW: all checks passed,vlm_landmark,landmark,False,MEDIUM,ok,35a4edab17bfe1c82d8bc853388d482d,False,6,loaded,0fd61f9e82e8fe6991f0311014384e0c,2026-04-23T10:19:36.377832Z,True,460,135.38,day1_20260820/logs/20260820_125837/mission_1_plant_3/start.jpg,27c88eaa38838f4629b30964702713bd,day1_20260820/logs/20260820_125837/mission_1_plant_3/finish.jpg,89d3b034e97ca368fe5e2fce32f4eb32
day1_20260820,20260820_125951,day1_20260820/logs/audit_20260820_125951.jsonl,xplorer-c,1,2026-08-20T10:00:30.709+00:00,E1,,SW20,1,1,,1,go to node 20,en,L3a_deterministic,1,no,20,plant_2,20,mission_complete,True,0.197,6.907,,,,6.8036,-0.9093,-1.4704,True,0.037983,0.1971721649169922,0.0,36.8,0,[],True,ALLOW: all checks passed,vlm_landmark,landmark,True,HIGH,ok,893a544b18b857fc0932f50d348d0465,False,6,loaded,0fd61f9e82e8fe6991f0311014384e0c,2026-04-23T10:19:36.377832Z,True,460,138.18,day1_20260820/logs/20260820_125951/mission_1_plant_2/start.jpg,69ea8ab6555c342fc6a09ec968df69b5,day1_20260820/logs/20260820_125951/mission_1_plant_2/finish.jpg,3c69c525a204539596759cab4bb3ebb1
day1_20260820,20260820_130207,day1_20260820/logs/audit_20260820_130207.jsonl,xplorer-c,1,2026-08-20T10:02:55.334+00:00,E1,,SW21,1,1,,1,go to node 21,en,L3a_deterministic,1,no,21,plant_1,21,mission_complete,True,0.26,7.825,2.2078,1.6079,-1.2005,7.2409,-0.9166,-1.5771,True,0.063982,0.23293495178222656,0.0,38.34,0,[],True,ALLOW: all checks passed,vlm_landmark,landmark,True,HIGH,ok,edf65dc3f3c1a383306370df5a43d8c8,False,6,loaded,0fd61f9e82e8fe6991f0311014384e0c,2026-04-23T10:19:36.377832Z,True,460,130.39,day1_20260820/logs/20260820_130207/mission_1_plant_1/start.jpg,07bf6226d7dc324b4013b22c9530c48e,day1_20260820/logs/20260820_130207/mission_1_plant_1/finish.jpg,015c7f9ddc3b56a79f35590a4bb5d2f8
day1_20260820,20260820_130331,day1_20260820/logs/audit_20260820_130331.jsonl,xplorer-c,1,2026-08-20T10:04:30.913+00:00,E1,,SW22,1,1,,1,go to node 22,en,L3a_deterministic,1,no,22,cb203_entrance,22,mission_complete,True,0.232,4.896,7.2409,-0.9166,-1.5771,8.2103,1.4183,-0.0004,True,0.162883,0.1957416534423828,0.0,49.33,0,[],True,ALLOW: all checks passed,vlm_contextual,contextual,True,HIGH,ok,28736d6ebde0fc703cd8a746947d3db2,False,6,loaded,0fd61f9e82e8fe6991f0311014384e0c,2026-04-23T10:19:36.377832Z,True,460,139.26,day1_20260820/logs/20260820_130331/mission_1_cb203_entrance/start.jpg,9a962b4c4784b82a1174d8b358c370f0,day1_20260820/logs/20260820_130331/mission_1_cb203_entrance/finish.jpg,3c47c8730522b39a1f8a24108eecd7e9
day1_20260820,20260820_130509,day1_20260820/logs/audit_20260820_130509.jsonl,xplorer-c,1,2026-08-20T10:05:56.263+00:00,E1,,SW23,1,1,,1,go to node 23,en,L3a_deterministic,1,no,23,cb203_exit,23,mission_complete,True,0.259,7.755,2.6633,1.6933,-1.5008,8.0249,3.4798,-3.0103,True,0.083152,0.22649765014648438,0.0,41.7,0,[],True,ALLOW: all checks passed,vlm_contextual,contextual,True,HIGH,ok,9efebdf987690cc50e83bedb3d2d5bc2,False,6,loaded,0fd61f9e82e8fe6991f0311014384e0c,2026-04-23T10:19:36.377832Z,True,460,129.67,day1_20260820/logs/20260820_130509/mission_1_cb203_exit/start.jpg,d6ed6342eb2851c285b582797ed62c64,day1_20260820/logs/20260820_130509/mission_1_cb203_exit/finish.jpg,18683c1d1a179f74571a5a87ddebaf99
day1_20260820,20260820_140042,day1_20260820/logs/audit_20260820_140042.jsonl,xplorer-b,1,2026-08-20T11:01:19.738+00:00,E1,,E1bP,1,1,,1,"the washroom got on fire, help me find something to stop the fire",en,L3a_m3_preference,0,no,8,cb202,8,mission_complete,True,0.213,2.092,2.304,1.907,-1.4898,2.1579,0.209,-1.5474,True,0.043308,0.14829635620117188,0.0,20.37,0,[],True,ALLOW: all checks passed,vlm_landmark,landmark,True,HIGH,ok,1e750e376384b9018b536a1728d123ae,True,6,loaded,0fd61f9e82e8fe6991f0311014384e0c,2026-04-23T10:19:36.377832Z,True,460,134.2,day1_20260820/logs/20260820_140042/mission_1_cb202/start.jpg,e4182d50e5fa0cab3a4999438c94bf1b,day1_20260820/logs/20260820_140042/mission_1_cb202/finish.jpg,1d9670129c527724f842d62cccba5e92
day1_20260820,20260820_140207,day1_20260820/logs/audit_20260820_140207.jsonl,xplorer-b,1,2026-08-20T11:02:37.356+00:00,E1,,E1bP,2,1,,1,"the washroom got on fire, help me find something to stop the fire",en,L3a_m3_preference,0,no,8,cb202,8,mission_complete,True,0.044,1.756,2.0571,1.4252,-1.4718,2.1924,0.0435,-1.4846,True,0.028464,0.12731552124023438,0.0,21.33,0,[],True,ALLOW: all checks passed,vlm_landmark,landmark,True,HIGH,ok,1e750e376384b9018b536a1728d123ae,True,6,loaded,0fd61f9e82e8fe6991f0311014384e0c,2026-04-23T10:19:36.377832Z,True,460,153.12,day1_20260820/logs/20260820_140207/mission_1_cb202/start.jpg,2c3db97077392e6dfbe8334e5f44d80c,day1_20260820/logs/20260820_140207/mission_1_cb202/finish.jpg,298b2ff920c13406cb7368c423971bc4
day1_20260820,20260820_141007,day1_20260820/logs/audit_20260820_141007.jsonl,xplorer-c,1,2026-08-20T11:10:34.697+00:00,E1,,E1bP,1,1,,1,"the washroom got on fire, help me find something to stop the fire",en,L3a_m3_preference,0,no,8,cb202,8,mission_complete,True,0.156,1.877,2.1513,1.9242,-1.4863,2.1619,0.1517,-1.5421,True,0.04098,0.1480579376220703,0.0,19.0,0,[],True,ALLOW: all checks passed,vlm_landmark,landmark,True,HIGH,ok,1e750e376384b9018b536a1728d123ae,True,6,loaded,0fd61f9e82e8fe6991f0311014384e0c,2026-04-23T10:19:36.377832Z,True,460,141.3,day1_20260820/logs/20260820_141007/mission_1_cb202/start.jpg,264c6f2062c1d16cf9c8a9d799fc0ccc,day1_20260820/logs/20260820_141007/mission_1_cb202/finish.jpg,1ebcf34c02d5033bf9e95271b88fd016
day1_20260820,20260820_141131,day1_20260820/logs/audit_20260820_141131.jsonl,xplorer-c,1,2026-08-20T11:11:55.964+00:00,E1,,E1bP,2,1,,1,"the washroom got on fire, help me find something to stop the fire",en,L3a_m3_preference,0,no,8,cb202,8,mission_complete,True,0.185,1.69,2.2684,1.6692,-1.5078,2.1782,0.1842,-1.5857,True,0.044281,0.12993812561035156,0.0,15.63,0,[],True,ALLOW: all checks passed,vlm_landmark,landmark,True,HIGH,ok,1e750e376384b9018b536a1728d123ae,True,6,loaded,0fd61f9e82e8fe6991f0311014384e0c,2026-04-23T10:19:36.377832Z,True,460,134.71,day1_20260820/logs/20260820_141131/mission_1_cb202/start.jpg,f23bce21d8dcd13da3cc204e2f9756ea,day1_20260820/logs/20260820_141131/mission_1_cb202/finish.jpg,e76d17cfe255f2c6e11a806599e80d19
day1_20260820,20260820_141656,day1_20260820/logs/audit_20260820_141656.jsonl,xplorer-c,1,2026-08-20T11:17:30.867+00:00,E1,,E1bA,1,1,,1,"the washroom got on fire, help me find something to stop the fire",en,L3a_m3_preference,0,no,8,cb202,8,mission_complete,True,0.066,1.809,2.2142,1.5379,-1.4943,2.1937,-0.0655,-1.4677,True,0.031807,0.1385211944580078,0.0,22.85,0,[],True,ALLOW: all checks passed,vlm_landmark,landmark,False,LOW,ok,1e750e376384b9018b536a1728d123ae,True,6,loaded,0fd61f9e82e8fe6991f0311014384e0c,2026-04-23T10:19:36.377832Z,True,460,141.3,day1_20260820/logs/20260820_141656/mission_1_cb202/start.jpg,4cce801e72a01acc058268d6e7013ddb,day1_20260820/logs/20260820_141656/mission_1_cb202/finish.jpg,ef7219dd52b4ab9a637951f5bfce6b11
day1_20260820,20260820_141906,day1_20260820/logs/audit_20260820_141906.jsonl,xplorer-c,1,2026-08-20T11:19:37.699+00:00,E1,,E1bA,2,1,,1,"the washroom got on fire, help me find something to stop the fire",en,L3a_m3_preference,0,no,8,cb202,8,mission_complete,True,0.1,1.862,2.2783,1.5257,-1.5811,2.2999,0.0023,-1.5399,True,0.022778,0.12373924255371094,0.0,19.75,0,[],True,ALLOW: all checks passed,vlm_landmark,landmark,False,LOW,ok,1e750e376384b9018b536a1728d123ae,True,6,loaded,0fd61f9e82e8fe6991f0311014384e0c,2026-04-23T10:19:36.377832Z,True,460,143.9,day1_20260820/logs/20260820_141906/mission_1_cb202/start.jpg,2afd4bd7c84d05ef106e6ce6e86dc7ae,day1_20260820/logs/20260820_141906/mission_1_cb202/finish.jpg,8697c44ad39e69c2dfcc8425c5335729
day1_20260820,20260820_142701,day1_20260820/logs/audit_20260820_142701.jsonl,xplorer-b,1,2026-08-20T11:27:31.651+00:00,E1,,E1bA,1,1,,1,"the washroom got on fire, help me find something to stop the fire",en,L3a_m3_preference,0,no,8,cb202,8,mission_complete,True,0.173,1.925,2.1685,1.881,-1.5168,2.195,0.1728,-1.5783,True,0.059396,0.15306472778320312,0.0,18.4,0,[],True,ALLOW: all checks passed,vlm_landmark,landmark,False,LOW,ok,1e750e376384b9018b536a1728d123ae,True,6,loaded,0fd61f9e82e8fe6991f0311014384e0c,2026-04-23T10:19:36.377832Z,True,460,139.31,day1_20260820/logs/20260820_142701/mission_1_cb202/start.jpg,1065ae362cb36427a74604cee66c2822,day1_20260820/logs/20260820_142701/mission_1_cb202/finish.jpg,798aa0f5145f70966be67b6a6afaff53
day1_20260820,20260820_142805,day1_20260820/logs/audit_20260820_142805.jsonl,xplorer-b,1,2026-08-20T11:28:27.733+00:00,E1,,E1bA,2,1,,1,"the washroom got on fire, help me find something to stop the fire",en,L3a_m3_preference,0,no,8,cb202,8,mission_complete,True,0.152,1.624,2.2933,1.6192,-1.8316,2.2762,0.1315,-1.5444,True,0.049999,0.1304149627685547,0.0,14.55,0,[],True,ALLOW: all checks passed,vlm_landmark,landmark,False,LOW,ok,1e750e376384b9018b536a1728d123ae,True,6,loaded,0fd61f9e82e8fe6991f0311014384e0c,2026-04-23T10:19:36.377832Z,True,460,127.29,day1_20260820/logs/20260820_142805/mission_1_cb202/start.jpg,c66a610f0f4f8ba98d46119f3023adc8,day1_20260820/logs/20260820_142805/mission_1_cb202/finish.jpg,1eca7aa4e902b4a418ae4f810226e0b7
day1_20260820,20260820_143504,day1_20260820/logs/audit_20260820_143504.jsonl,xplorer-b,1,2026-08-20T11:35:31.612+00:00,E1,,E1c,1,1,,1,go to lab_cb204,en,L3a_deterministic,2,no,5,cb204,5,mission_complete,True,0.212,3.618,2.3706,1.5778,1.7921,2.2454,4.5926,1.5746,True,0.046678,0.3669261932373047,0.0,22.2,0,[],True,ALLOW: all checks passed,vlm_contextual,contextual,True,HIGH,ok,f594f968a1a3fef04c3095d9df17baa9,False,6,loaded,0fd61f9e82e8fe6991f0311014384e0c,2026-04-23T10:19:36.377832Z,True,460,138.18,day1_20260820/logs/20260820_143504/mission_1_cb204/start.jpg,978528a6cbe3727452476a08f6085df6,day1_20260820/logs/20260820_143504/mission_1_cb204/finish.jpg,34d1dbced07c6a419355b3e711e2adba
day1_20260820,20260820_143557,day1_20260820/logs/audit_20260820_143557.jsonl,xplorer-b,1,2026-08-20T11:36:29.474+00:00,E1,,E1c,2,1,,1,go to lab_cb204,en,L3a_deterministic,2,no,5,cb204,5,mission_complete,True,0.243,3.45,2.2046,1.5007,1.5798,2.2311,4.5586,1.5886,True,0.049316,0.3151893615722656,0.0,19.66,0,[],True,ALLOW: all checks passed,vlm_contextual,contextual,True,HIGH,ok,f594f968a1a3fef04c3095d9df17baa9,False,6,loaded,0fd61f9e82e8fe6991f0311014384e0c,2026-04-23T10:19:36.377832Z,True,460,143.11,day1_20260820/logs/20260820_143557/mission_1_cb204/start.jpg,eb4673cacaa90f855ee93de9f8b1d5b8,day1_20260820/logs/20260820_143557/mission_1_cb204/finish.jpg,e6042c1111ecf35f55e43925a3c84c83
day1_20260820,20260820_143644,day1_20260820/logs/audit_20260820_143644.jsonl,xplorer-b,1,2026-08-20T11:37:14.455+00:00,E1,,E1c,3,1,,1,go to lab_cb204,en,L3a_deterministic,2,no,5,cb204,5,mission_complete,True,0.201,3.536,2.31,1.6596,1.6155,2.0415,4.6757,1.6046,True,0.048011,0.3762245178222656,0.0,20.23,0,[],True,ALLOW: all checks passed,vlm_contextual,contextual,True,HIGH,ok,f594f968a1a3fef04c3095d9df17baa9,False,6,loaded,0fd61f9e82e8fe6991f0311014384e0c,2026-04-23T10:19:36.377832Z,True,460,149.61,day1_20260820/logs/20260820_143644/mission_1_cb204/start.jpg,bab9943840d288fc07742dc3404a291e,day1_20260820/logs/20260820_143644/mission_1_cb204/finish.jpg,70aa860c820ab6394e81a82e2bb2941b
day1_20260820,20260820_143732,day1_20260820/logs/audit_20260820_143732.jsonl,xplorer-b,1,2026-08-20T11:37:57.454+00:00,E1,,E1c,4,1,,1,go to lab_cb204,en,L3a_deterministic,2,no,5,cb204,5,mission_complete,True,0.227,3.497,2.301,1.575,1.6613,2.1031,4.5945,1.6523,True,0.049327,0.39696693420410156,0.0,20.13,0,[],True,ALLOW: all checks passed,vlm_contextual,contextual,True,HIGH,ok,f594f968a1a3fef04c3095d9df17baa9,False,6,loaded,0fd61f9e82e8fe6991f0311014384e0c,2026-04-23T10:19:36.377832Z,True,460,141.99,day1_20260820/logs/20260820_143732/mission_1_cb204/start.jpg,454e11faabf542320998041a94aa13e0,day1_20260820/logs/20260820_143732/mission_1_cb204/finish.jpg,b0d9ac618f1fd511dacd149d03b5a57f
